2026-06-19 17:08:50 | INFO     | document_loader      | DocumentLoader initialized — upload_dir: c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\uploads
2026-06-19 17:08:50 | INFO     | document_loader      | Supported formats: ['.pdf', '.docx']
2026-06-19 17:08:50 | INFO     | chunker              | Chunker initialized — chunk_size: 1000 | overlap: 300
2026-06-19 17:08:50 | INFO     | embedder             | Embedder initializing — endpoint: https://az-oai-collection.openai.azure.com/ | model: text-embedding-3-small
2026-06-19 17:08:50 | INFO     | embedder             | Embedder ✅ initialized | max_workers: 10
2026-06-19 17:08:50 | INFO     | vector_store         | VectorStore initializing — persist_dir: c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\chroma_db
2026-06-19 17:08:51 | INFO     | vector_store         | VectorStore ✅ Collection loaded — 0 existing vectors
2026-06-19 17:08:51 | INFO     | memory_manager       | [MEMORY_MGR] Initializing conversation memory manager
2026-06-19 17:08:51 | INFO     | memory_store         | [MEMORY_STORE] Initializing with Chroma DB at c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\chroma_db
2026-06-19 17:08:51 | INFO     | memory_store         | [MEMORY_STORE] ✅ Collections loaded — metadata: 0, summaries: 0
2026-06-19 17:08:51 | INFO     | memory_store         | [MEMORY_STORE] ✅ Retrieved 0 groups
2026-06-19 17:08:51 | INFO     | memory_manager       | [MEMORY_MGR] ✅ Loaded 0 groups from storage
2026-06-19 17:08:51 | INFO     | memory_manager       | [MEMORY_MGR] ✅ Manager initialized
2026-06-19 17:08:51 | INFO     | main                 | [STARTUP] Conversation memory manager initialized
2026-06-19 17:08:51 | INFO     | context_resolver     | [RESOLVER] ✅ LLM classifier initialized
2026-06-19 17:08:51 | INFO     | multi_group_processor | [MULTI_GROUP] ✅ Initialized with max_workers=5
2026-06-19 17:08:51 | INFO     | background_summarizer | [BG_SUMMARIZER] Initialized with 3 workers
2026-06-19 17:08:51 | INFO     | main                 | [STARTUP] Vector store ready — session started
2026-06-19 17:08:51 | INFO     | main                 | [STARTUP] Conversation memory manager initialized
2026-06-19 17:08:51 | DEBUG    | asyncio              | Using proactor: IocpProactor
2026-06-19 17:09:05 | INFO     | main                 | [INGEST_BG] Starting background processing for 1 file(s)
2026-06-19 17:09:05 | INFO     | main                 | [CHUNKER] Selected: RecursiveCharacterTextSplitter (default)
2026-06-19 17:09:05 | INFO     | main                 | [INGEST_BG] Processing: electricity.pdf (2491059 bytes)
2026-06-19 17:09:05 | INFO     | main                 | [INGEST_BG] STEP 1 — Loading electricity.pdf
2026-06-19 17:09:05 | INFO     | document_loader      | [LOAD] Processing 1 file(s)
2026-06-19 17:09:05 | INFO     | document_loader      | [SAVE] electricity.pdf → c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\uploads\a8eb1849b1324a65aa3097c64ef51906.pdf (2491059 bytes)
2026-06-19 17:09:05 | INFO     | document_loader      | [LOAD] Using PDFLoader for electricity.pdf
2026-06-19 17:09:05 | INFO     | pdf_loader           | [LOAD PDF] electricity.pdf — using PyMuPDF (text + tables)
2026-06-19 17:09:05 | INFO     | pdf_loader           | [LOAD PDF] 25 pages found
2026-06-19 17:09:06 | INFO     | pdf_loader           | [LOAD PDF] Page 6: extracted 1 table(s)
2026-06-19 17:09:06 | INFO     | pdf_loader           | [LOAD PDF] Page 9: extracted 1 table(s)
2026-06-19 17:09:07 | INFO     | pdf_loader           | [LOAD PDF] Page 12: extracted 1 table(s)
2026-06-19 17:09:07 | INFO     | pdf_loader           | [LOAD PDF] Page 13: extracted 1 table(s)
2026-06-19 17:09:07 | INFO     | pdf_loader           | [LOAD PDF] Page 17: extracted 1 table(s)
2026-06-19 17:09:08 | INFO     | pdf_loader           | [LOAD PDF] Page 18: extracted 1 table(s)
2026-06-19 17:09:08 | INFO     | pdf_loader           | [LOAD PDF] Page 20: extracted 2 table(s)
2026-06-19 17:09:09 | INFO     | pdf_loader           | [LOAD PDF] ✅ electricity.pdf — 25 non-empty pages extracted
2026-06-19 17:09:09 | INFO     | main                 | [INGEST_BG] STEP 2 — Chunking electricity.pdf (mode: recursive)
2026-06-19 17:09:09 | INFO     | chunker              | [CHUNK] Processing 1 document(s)
2026-06-19 17:09:09 | INFO     | chunker              | [CHUNK] Starting — electricity.pdf | 25 pages
2026-06-19 17:09:09 | DEBUG    | chunker              | [CHUNK] Split complete — 96 raw chunks
2026-06-19 17:09:09 | INFO     | chunker              | [CHUNK] ✅ electricity.pdf — 25 pages → 96 chunks
2026-06-19 17:09:09 | INFO     | main                 | [INGEST_BG] STEP 2.5 — Created 96 chunks from electricity.pdf
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 1/96: 1. ELECTRIC CURRENT “The flow of charge in a definite direction constitutes the electric current and...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 2/96: . 2. Under the effect of an external electric field, the valence electrons move in a definite direct...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 3/96: . Thus, positive ions and electrons are the current carriers in gases. www.esaral.com Rev. Notes Cla...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 4/96: . 1. The drift velocity of electons is of the order of 10 –4 ms –1. 2. If V is the potential differe...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 5/96: 6. Similarly, the velocities acquired by other electrons in the conductor will be 2 2 2 v u a , 3 3 ...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 6/96: . of E 3.1 Relaxation time () The time interval between two successive collisions of electrons with ...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 7/96: . The small value of drift velocity produces a large amount of electric current, due to the presence...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 8/96: . 1. Mobility of charge carrier ( ), responsible for current is defined as the magnitude of drift ve...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 9/96: .e., the number of free electrons perunit volume of the conductor, then total number of free electro...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 10/96: 6. Time taken by the free electrons to cross the conductors, t = l/vd q A ne dI t t v Hence, current...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 11/96: . It is known as the electrical resistance of the conductor. Thus, V = RI this is Ohm’s law. (1) Ohm...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 12/96: 2. The SI unit of electrical resistance is ohm  or volt amp . 3. Dimensions of electric resistance P...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 13/96: . From above ; R or R A A .” 5.2  Resistivity () 1 Where  is constant of proportionality and is know...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 14/96: .g. silver = minimum = 1.6  10–8 -m and fused quartz = maximum  1016 -m ) insulator alloy semi-condu...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 15/96: . 3. We have, 2 2 V m m R I A Ane ne comparing the above relation with the relation, R A . 4. We hav...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 16/96: Volume remains constant i.e., A1l1 = A2l2 After stretching length = l2, area of cross-section = A2, ...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 17/96: . Insulators do not conduct charges. When a small potential difference is applied across the two end...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 18/96: .com Rev. Notes Class 12 Physics Chapter-2 JEE | NEET | Class 8 - 10 Download eSaral App 3. Semicond...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 19/96: . 1. For metals like silver, copper, etc., the value of a is positive, therefore, resistance of a me...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 20/96: (c) The relation between V and I is not unique, i.e., there is more than one value of V for the same...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 21/96: . B B ROY Green, Britain Very Good Wife Gold Silver. Way of finding the resistance of carbon resisto...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 22/96: . 8.  COMBINATION OF RESISTORS 8.1 Resistances in Series Resistors are said to be connected in serie...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 23/96: 4. If Rs is the equivalent resistance of the given series combination of resistances, figure, then t...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 24/96: . 8.2  Resistances in Parallel Any number of resistors are said to be connected in parallel if poten...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 25/96: . Then, I = I2 + I2 + I3 3. Here, potential difference across each resistor is V, therefore V = I1R1...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 26/96: . (ii) the current through each resistor is inversely proportional to the resistance of that resisto...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 27/96: 9.  CELL The device which converts chemical energy into electrical energy is known as electric cell....
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 28/96: . The internal resistance of a cell depends on the distance between electrodes (r  d), area of elect...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 29/96: . R R R r Power delivered will be maximum when r R   so This statement in generalised from is called...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 30/96: (i) Maximum current (called short circuit current) flows E i r momentarily sc (ii) Potential differe...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 31/96: . 2. The difference of emf and terminal voltage is called lost voltage as it is not indicated by a v...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 32/96: . of the cell. 3. The term emf is used for 3. The potential difference is the source of electric mea...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 33/96: . (1) Series grouping : In series grouping anode of one cell is connected to cathode of other cell a...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 34/96: . If n identical cells are connected in parallel E, r E, r E, r i R 9 [TABLE 1] | E.M.F. of a Cell |...
2026-06-19 17:09:09 | DEBUG    | main                 | [INGEST_BG]   Chunk 35/96: JEE | NEET | Class 8 - 10 Download eSaral App (i) Equivalent emf Eeq = E (iii) Main current flowing ...
