2026-06-17 15:33:12 | INFO     | document_loader      | DocumentLoader initialized — upload_dir: c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\uploads
2026-06-17 15:33:12 | INFO     | document_loader      | Supported formats: ['.pdf', '.docx']
2026-06-17 15:33:12 | INFO     | chunker              | Chunker initialized — chunk_size: 1000 | overlap: 300
2026-06-17 15:33:12 | INFO     | embedder             | Embedder initializing — endpoint: https://az-oai-collection.openai.azure.com/ | model: text-embedding-3-small
2026-06-17 15:33:13 | INFO     | embedder             | Embedder ✅ initialized | max_workers: 10
2026-06-17 15:33:13 | INFO     | vector_store         | VectorStore initializing — persist_dir: c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\chroma_db
2026-06-17 15:33:13 | DEBUG    | chromadb.config      | Starting component System
2026-06-17 15:33:13 | DEBUG    | chromadb.config      | Starting component Posthog
2026-06-17 15:33:13 | INFO     | vector_store         | VectorStore ✅ Collection loaded — 94 existing vectors
2026-06-17 15:33:14 | INFO     | memory_manager       | [MEMORY_MGR] Initializing conversation memory manager
2026-06-17 15:33:14 | INFO     | memory_store         | [MEMORY_STORE] Initializing with Chroma DB at c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\chroma_db
2026-06-17 15:33:14 | INFO     | memory_store         | [MEMORY_STORE] ✅ Collections loaded — metadata: 19, summaries: 0
2026-06-17 15:33:14 | INFO     | memory_store         | [MEMORY_STORE] ✅ Retrieved 19 groups
2026-06-17 15:33:14 | INFO     | memory_manager       | [MEMORY_MGR] ✅ Loaded 19 groups from storage
2026-06-17 15:33:14 | INFO     | memory_manager       | [MEMORY_MGR] ✅ Manager initialized
2026-06-17 15:33:14 | INFO     | main                 | [STARTUP] Conversation memory manager initialized
2026-06-17 15:33:14 | INFO     | context_resolver     | [RESOLVER] ✅ LLM classifier initialized
2026-06-17 15:33:14 | INFO     | multi_group_processor | [MULTI_GROUP_PROCESSOR] ✅ Initialized with max_workers=5
2026-06-17 15:33:14 | INFO     | background_summarizer | [BG_SUMMARIZER] Initialized with 3 workers
2026-06-17 15:33:14 | INFO     | main                 | [STARTUP] Vector store ready — session started
2026-06-17 15:33:14 | INFO     | main                 | [STARTUP] Conversation memory manager initialized
2026-06-17 15:33:14 | INFO     | main                 | ==============================================
2026-06-17 15:33:14 | INFO     | main                 |   📄 RAG Pipeline — Enterprise
2026-06-17 15:33:14 | INFO     | main                 |   🌐  http://localhost:8000
2026-06-17 15:33:14 | INFO     | main                 |   🛑  Stop: Ctrl + C
2026-06-17 15:33:14 | INFO     | main                 | ==============================================
2026-06-17 15:33:19 | INFO     | main                 | =======================================================
2026-06-17 15:33:19 | INFO     | main                 | [INGEST] ▶ New ingest request received
2026-06-17 15:33:19 | INFO     | main                 | [INGEST] Files: 1 | Chunk mode: 'recursive'
2026-06-17 15:33:19 | INFO     | main                 | [INGEST_BG] Starting background processing for 1 file(s)
2026-06-17 15:33:19 | INFO     | main                 | [CHUNKER] Selected: RecursiveCharacterTextSplitter (default)
2026-06-17 15:33:19 | INFO     | main                 | [INGEST_BG] Processing: electricity.pdf (2491057 bytes)
2026-06-17 15:33:19 | INFO     | main                 | [INGEST_BG] STEP 1 — Loading electricity.pdf
2026-06-17 15:33:19 | INFO     | document_loader      | [LOAD] Processing 1 file(s)
2026-06-17 15:33:19 | INFO     | document_loader      | [SAVE] electricity.pdf → c:\Users\gangwarr\Desktop\PDFRAG-main\PDFRAG-main\backend\storage\uploads\9822712ed3cc4eefaa4b2e3ef8d47b16.pdf (2491057 bytes)
2026-06-17 15:33:19 | INFO     | document_loader      | [LOAD] Using PDFLoader for electricity.pdf
2026-06-17 15:33:19 | INFO     | pdf_loader           | [LOAD PDF] electricity.pdf — using PyMuPDF (simple text extraction)
2026-06-17 15:33:19 | INFO     | pdf_loader           | [LOAD PDF] 25 pages found
2026-06-17 15:33:19 | INFO     | pdf_loader           | [LOAD PDF] ✅ electricity.pdf — 25 non-empty pages extracted
2026-06-17 15:33:19 | INFO     | main                 | [INGEST_BG] STEP 2 — Chunking electricity.pdf (mode: recursive)
2026-06-17 15:33:19 | INFO     | chunker              | [CHUNK] Processing 1 document(s)
2026-06-17 15:33:19 | INFO     | chunker              | [CHUNK] Starting — electricity.pdf | 25 pages
2026-06-17 15:33:19 | DEBUG    | chunker              | [CHUNK] Split complete — 94 raw chunks
2026-06-17 15:33:19 | INFO     | chunker              | [CHUNK] ✅ electricity.pdf — 25 pages → 94 chunks
2026-06-17 15:33:19 | INFO     | main                 | [INGEST_BG] STEP 2.5 — Created 94 chunks from electricity.pdf
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 1/94: 1 1. ELECTRIC CURRENT “The flow of charge in a definite direction constitutes the electric current a...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 2/94: . 2. Under the effect of an external electric field, the valence electrons move in a definite direct...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 3/94: . (c) Current carriers in gases : 1. Ordinarily, the gases are insulators of electricity. 2. They ca...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 4/94: . “Drift velocity is defined as the average velocity with which the free electrons get drifted towar...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 5/94: 2 6. Similarly, the velocities acquired by other electrons in the conductor will be 2 2 2 v u a ,  ...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 6/94: . 8. Its value is the order of 10 –14 second. 9. Putting the value of a  in the above relation, we ...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 7/94: .e. d v E  It’s unit is 2 m volt sec   If cross-section is constant, I  J i.e. for a given cross...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 8/94: .  Free electron density in a metal is given by A N x d n A  where NA = Avogrado number, x = numbe...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 9/94: . Consider a conductor (say a copper wire) of length l and of uniform area of cross-section  Volume...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 10/94: 3 6. Time taken by the free electrons to cross the conductors, t = l/vd Hence, current, d q A ne dI ...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 11/94: . It is known as the electrical resistance of the conductor. Thus, V = RI this is Ohm’s law. (1) Ohm...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 12/94: 4 2. The SI unit of electrical resistance is ohm  or volt amp . 3. Dimensions of electric resistance...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 13/94: . From above ; R or R A A      .” 5.2  Resistivity () 1 Where  is constant of proportionality...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 14/94: .g. silver = minimum = 1.6  10–8 -m and fused quartz = maximum  1016 -m )    insulator allo...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 15/94: . 4. We have, the resistivity of the material of a conductor, 2 m ne    5.3 Conductivity Reciproc...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 16/94: 5 Volume remains constant i.e., A1l1 = A2l2 After stretching length = l2, area of cross-section = A2...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 17/94: . Insulators do not conduct charges. When a small potential difference is applied across the two end...
2026-06-17 15:33:19 | DEBUG    | main                 | [INGEST_BG]   Chunk 18/94: . Examples of conductors are all metals like copper, silver, aluminium, tungsten etc. 3. Semiconduct...
